id,collid,name,original_name,year_published,image,thumbnail,image_id,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,avg_weight,num_owned,bgg_rec_players,bgg_best_players,bgg_rec_age_range,bgg_language_dependence,own,preordered,wanttobuy,wishlist,wishlist_priority,wanttoplay,want,fortrade,prevowned,quantity,status_last_modified,num_plays,rating,bgg_rating,bgg_geek_rating,num_ratings,rating_stddev,bgg_rank,family_ranks,acquiredfrom,acquisition_date,inv_date,price_paid,price_paid_currency,curr_value,curr_value_currency,inv_location,condition,want_parts_list,has_parts_list,barcode,version_publishers,version_languages,version_year_published,version_nickname,wishlist_comment,comment,private_comment
292487,68059533,10 Gallon Tank,10 Gallon Tank,2020,https://cf.geekdo-images.com/1Lc6qAuctKKdi1VmIwLIsQ__original/img/dSQvaGNOC8XbcaUlekI79Kr3hfI=/0x0/filters:format(png)/pic5040531.png,https://cf.geekdo-images.com/1Lc6qAuctKKdi1VmIwLIsQ__small/img/vsZ0oZPbAT3Tu3R6XZWyfhRee8o=/fit-in/200x150/filters:strip_icc()/pic5040531.png,,2,5,15,20,20,,1.5,362,"2,3,4,5","4,5",,,0,0,0,0,3,0,0,0,1,1,2024-07-14 20:30:37,1,7,6.58212,5.55811,151,1.47299,12383,,KS,2020-01-21,,28,USD,,,Sold,Opened.  Played Once,,,,Winsmith Games,English,2020,English edition,Listed $5 OctoCon; Free to @XADocs,,"PM DONE 28 Feb 2020
One copy of 10 Gallon Tank for yourself + Stretch Goals.
One copy of 10 Gallon Tank donated to Toys for Tots + Stretch Goals.
(Only pay shipping for your copy)

INCLUDES:
10 Gallon Tank - Physical Copy
10 Gallon Tank - Donated to Toys for Tots
10 Gallon Tank - Print and Play
All Unlocked Stretch Goals

Free to @XADocs at OctoCon 2022"
447649,134479282,12 Rivers,12 Rivers,2025,https://cf.geekdo-images.com/S39N_AX6rXD9f3XWFkGhMA__original/img/Hh7q8RghzRjNPiOqWihAaxa3frc=/0x0/filters:format(jpeg)/pic8923324.jpg,https://cf.geekdo-images.com/S39N_AX6rXD9f3XWFkGhMA__small/img/ZLWW_LNvxIcYbp3rebiFFOAqMuw=/fit-in/200x150/filters:strip_icc()/pic8923324.jpg,,2,4,45,75,75,,1.9444,1248,"3,4",4,12+,Some necessary text - easily memorized or small crib sheet,0,0,0,0,3,0,0,0,0,,2025-08-07 19:59:19,1,6,7.14001,5.81618,581,1.26494,4629,,,,,,,,,,,,,,,,,,"GenCon 2025
Marbles - gimmicky",,
27708,44364904,1960: The Making of the President,1960: The Making of the President,2007,https://cf.geekdo-images.com/p-k_CqUvJzTcMMz4ms7f_Q__original/img/jCMiFqLiGxgXM7akNX3KLHEI6-o=/0x0/filters:format(jpeg)/pic3499166.jpg,https://cf.geekdo-images.com/p-k_CqUvJzTcMMz4ms7f_Q__small/img/LZFIiC173jPXvtxUGeNh9eGedpc=/fit-in/200x150/filters:strip_icc()/pic3499166.jpg,,2,2,90,120,120,,3.2032,11494,2,2,14+,Extensive use of text - massive conversion needed to be playable,0,0,0,0,4,0,0,0,0,,2023-07-15 17:15:53,0,0,7.61434,7.16766,9524,1.33258,333,Strategy Game Rank: 219,,,,,,,,,,,,,,,,,,,
323871,145226007,1961,1961,2022,https://cf.geekdo-images.com/tL_rWPSDTu-q1YUQ5SQ3WA__original/img/jD5HUOtDC6dGp4Xt_9SoKoeO6M8=/0x0/filters:format(png)/pic5761051.png,https://cf.geekdo-images.com/tL_rWPSDTu-q1YUQ5SQ3WA__small/img/Avdvj0AZzPGj-cbfFLYybcU6k-4=/fit-in/200x150/filters:strip_icc()/pic5761051.png,,2,6,5,20,20,,1.6667,70,"1,2,3,4,5,6","4,5,6",12+,Extensive use of text - massive conversion needed to be playable,1,0,0,0,3,1,0,0,0,,2026-05-31 17:22:34,0,0,7.8125,5.50551,48,2.33324,24226,,Indy Spiel,2026-05-05,2026-05-15,3,USD,,,,,,,,"House Fish Balloon, LLC",English,2022,English edition,,,"[4-Evaluate]
Indy Spiel May 2026 (Michael Sullivan) $3"
421281,123412014,1980 Sixtina,1980 Sixtina,2024,https://cf.geekdo-images.com/1zeGKeGzXyFOD1nt52DVvA__original/img/Oz_jR36a0j_MT098e1f0oN9ANOI=/0x0/filters:format(jpeg)/pic8208134.jpg,https://cf.geekdo-images.com/1zeGKeGzXyFOD1nt52DVvA__small/img/r2KfLVGW_v6BCtOJ3k5kd4-34hk=/fit-in/200x150/filters:strip_icc()/pic8208134.jpg,,2,4,45,45,45,,2.0909,714,"2,3,4","3,4",8+,No necessary in-game text,0,0,1,0,3,0,0,0,0,,2024-09-20 07:18:31,0,0,7.02816,5.62596,217,1.10892,8262,,,,,,,,,,,,,,,,,,Joey Evans DT 2024 Essen Preview,,
441658,145060154,25 Words or Less,25 Words or Less,2025,https://cf.geekdo-images.com/41vgxA7AbGEOZ8kkSyi_4g__original/img/lagmWjnvRKVnqdPhQKkwJr2p_Dw=/0x0/filters:format(jpeg)/pic8779958.jpg,https://cf.geekdo-images.com/41vgxA7AbGEOZ8kkSyi_4g__small/img/JvPeR5aLAA1Wp7OlSTisIhongBU=/fit-in/200x150/filters:strip_icc()/pic8779958.jpg,,4,99,20,35,35,,1,45,,,,,1,0,0,0,3,0,0,0,0,,2026-05-31 20:14:57,1,6,6.48235,0,17,1.88125,0,,Indy Spiel,2026-04-30,2026-05-15,5,USD,,,,,,,,,,,,,,"[3-Transient]
Indy Spiel May 2026 from Tim Aberli $5"
416027,120329402,3 of a Kind,3 of a Kind,2024,https://cf.geekdo-images.com/NvFTjlKpLQHQ1l44uXWCEQ__original/img/q3WFCyWthbHlDduj_1f7X9P7doc=/0x0/filters:format(jpeg)/pic8068041.jpg,https://cf.geekdo-images.com/NvFTjlKpLQHQ1l44uXWCEQ__small/img/uxECox72KUEHdc7xytpmQCpfgaU=/fit-in/200x150/filters:strip_icc()/pic8068041.jpg,,2,8,25,25,25,,1,243,"4,5,6,7,8",6,,,0,0,0,0,3,0,0,0,0,,2024-07-05 22:34:14,0,0,6.81496,5.5654,127,1.26442,11738,,,,,,,,,,,,,,,,,,GenCon 2024. Looks like a decent party game,,
436590,132949226,3-2-1 Countdown,3-2-1 Countdown,2025,https://cf.geekdo-images.com/MQpvFRLCaMnAx4MgBUf20w__original/img/J3dchIQO5E1K3X41MX3FqMObWws=/0x0/filters:format(jpeg)/pic8686749.jpg,https://cf.geekdo-images.com/MQpvFRLCaMnAx4MgBUf20w__small/img/9XD02zBqb0A0xQB5IxmRZuEa0-g=/fit-in/200x150/filters:strip_icc()/pic8686749.jpg,,2,8,16,30,30,,1.5,376,,,6+,,1,0,0,0,3,0,0,1,0,,2026-05-31 20:09:56,1,5,6.50952,5.54924,126,1.44976,13389,,GenCon,2025-07-31,2025-07-31,20,USD,,,,,,,,,,,,"GenCon 2025
High player
Weird company Paul G told me about",,[5-Exiting]
267058,83394530,300: Earth & Water,300: Earth & Water,2018,https://cf.geekdo-images.com/pFIXq0V_PdwI2eq7Ea5GxQ__original/img/QTktMPKVIVaV_CXiFPzWJK_-5aU=/0x0/filters:format(jpeg)/pic5893130.jpg,https://cf.geekdo-images.com/pFIXq0V_PdwI2eq7Ea5GxQ__small/img/mUlORoMrCxZjhRQ2LfImOCeypoo=/fit-in/200x150/filters:strip_icc()/pic5893130.jpg,,2,2,40,40,40,,2.3846,2685,2,2,12+,Extensive use of text - massive conversion needed to be playable,0,0,0,0,3,0,0,0,0,,2023-04-04 12:44:09,0,0,7.35673,6.14653,1309,1.20436,2445,War Game Rank: 225,,,,,,,,,,,,,,,,,GenCon 2021,,
432250,126148496,52 Realms: Adventures,52 Realms: Adventures,2024,https://cf.geekdo-images.com/X24nY57W6ccHrouGcPjfBA__original/img/Ye365cMMJ9mcakKvO89yLSiUwVw=/0x0/filters:format(png)/pic8519055.png,https://cf.geekdo-images.com/X24nY57W6ccHrouGcPjfBA__small/img/Iv4SOMDLUdbIyRqtCemffbEHghk=/fit-in/200x150/filters:strip_icc()/pic8519055.png,,1,1,10,20,20,,1.9167,1235,1,1,10+,,1,0,0,0,3,0,0,0,0,1,2026-05-31 20:23:56,0,0,7.48856,5.74082,355,1.06045,5576,,Kickstarter,2024-12-03,,7,USD,,,Print n Play,,,,,,,,,,,[2-Resident]
271512,69494541,5211,5211,2019,https://cf.geekdo-images.com/fm2SAoNjPi34jLFEJ9BXfA__original/img/u8ELFpVAPJYF0Hceett8Tv2J9cQ=/0x0/filters:format(png)/pic4560166.png,https://cf.geekdo-images.com/fm2SAoNjPi34jLFEJ9BXfA__small/img/wpTkSUdq1h96at87h5P5CJ_sC7E=/fit-in/200x150/filters:strip_icc()/pic4560166.png,,2,5,20,30,30,,1.2553,4688,"2,3,4,5",4,6+,No necessary in-game text,1,0,0,0,3,0,0,0,0,1,2026-05-31 20:15:11,7,8,6.29555,5.86193,2105,1.33598,4182,Family Game Rank: 1376,Cardhaus,2020-03-08,,9,USD,,,Lakehouse,,,,,,,,,"Played at IndyCon 2020.  Fun, quick wish decent amount of strategic thinking/guessing!",,[3-Transient]
